FedEx Ground Standard List Rates,,,,,,,,,,,,,,,,,
Weight,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,Intra Oahu,To Alaska,To Canada,To Canada,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
143,77.40,78.43,82.85,83.48,91.91,99.59,111.72,405.40,76.31,405.40,128.68,210.95,174.34,186.69,89.17,174.34,186.69
144,78.08,79.15,84.45,84.47,92.61,100.26,112.48,408.18,77.12,408.18,128.69,210.96,175.41,187.75,90.90,175.41,187.75
145,78.35,81.47,85.15,85.18,93.31,100.92,113.23,411.07,77.99,411.07,128.71,213.01,176.40,188.77,91.79,176.40,188.77
146,79.03,81.48,85.16,85.47,94.00,101.59,113.95,414.00,78.82,414.00,131.31,217.35,177.48,189.82,91.80,177.48,189.82
147,80.21,81.50,85.96,86.16,94.67,102.29,114.73,416.89,79.66,416.89,131.32,217.37,178.54,190.87,93.57,178.54,190.87
148,80.42,82.10,86.85,86.87,96.07,102.97,115.49,419.82,80.48,419.82,131.33,217.38,179.62,191.88,94.43,179.62,191.88
149,81.34,82.82,87.50,87.52,96.28,103.62,116.79,424.76,82.13,424.76,131.34,217.39,180.67,192.95,94.44,180.67,192.95
150,81.35,83.57,88.94,90.44,96.79,104.34,117.55,427.68,82.19,427.68,131.35,217.40,181.72,193.98,95.31,181.72,193.98
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"We reserve the right to modify, amend or supplement our rates.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Go to fedex.com/us/rates-surcharges for additional fee and surcharge information.,,,,,,,,,,,,,,,,,
